央视频道,#genre#
重庆卫视,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229061/index.m3u8#http://39.137.76.32:8089/00/SNM/CHANNEL00000023/index.m3u8#http://118.123.60.12:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=012&Provider_id=&Pcontent_id=index.m3u8
青海卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000042/index.m3u8#http://118.123.60.8:8114/LIVES/Fsv_otype=1&FvSeid=&Fsv_filetype=mull&Fsv_chan_hls_se_idx=016&Provider_id=&Pcontent_id=index.m3u8
四川卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000033/index.m3u8#http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/sichuan_2_hd.m3u8
山西卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000032/index.m3u8#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229074/index.m3u8
新疆卫视,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229116/index.m3u8#http://39.137.76.32:8089/00/SNM/CHANNEL00000044/index.m3u8#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229116/index.m3u8
江西卫视,http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/jiangxi_2_hd.m3u8#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229374/index.m3u8
云南卫视,http://39.137.76.32:8089/00/SNM/CHANNEL00000039/index.m3u8#http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229055/index.m3u8
东南卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000310/index.m3u8#http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/dongnan_2_hd.m3u8
贵州卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000329/index.m3u8#http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/guizhou_2_hd.m3u8
甘肃卫视,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229077/index.m3u8#http://39.137.76.32:8089/00/SNM/CHANNEL00000046/index.m3u8
河南卫视,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229371/index.m3u8#http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/henan_2_hd.m3u8
辽宁卫视,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000326/index.m3u8#http://cctvtxyh5ca.liveplay.myqcloud.com/wstv/liaoning_2_hd.m3u8
