
⚡BJ联通,#genre#
新疆卫视[768x576],http://111.196.133.132:8012/udp/239.3.1.48:8160
新疆卫视[768x576],http://114.254.189.28:9999/udp/239.3.1.48:8160
江苏卫视[1920x1080],http://111.196.133.132:8012/udp/239.3.1.135:8028
江苏卫视[1920x1080],http://114.254.189.28:9999/udp/239.3.1.135:8028
江西卫视[1920x1080],http://111.196.133.132:8012/udp/239.3.1.123:8164
江西卫视[1920x1080],http://114.254.189.28:9999/udp/239.3.1.123:8164
河北卫视[1920x1080],http://111.196.133.132:8012/udp/239.3.1.148:8072
河北卫视[1920x1080],http://114.254.189.28:9999/udp/239.3.1.148:8072
河南卫视[768x576],http://111.196.133.132:8012/udp/239.3.1.27:8128
河南卫视[768x576],http://114.254.189.28:9999/udp/239.3.1.27:8128
浙江卫视[1920x1080],http://111.196.133.132:8012/udp/239.3.1.137:8036
浙江卫视[1920x1080],http://114.254.189.28:9999/udp/239.3.1.137:8036
海南卫视[768x576],http://111.196.133.132:8012/udp/239.3.1.45:8304
海南卫视[768x576],http://114.254.189.28:9999/udp/239.3.1.45:8304
深圳卫视[1920x1080],http://111.196.133.132:8012/udp/239.3.1.134:8020
深圳卫视[1920x1080],http://114.254.189.28:9999/udp/239.3.1.134:8020
湖北卫视[1920x1080],http://111.196.133.132:8012/udp/239.3.1.138:8044
湖北卫视[1920x1080],http://114.254.189.28:9999/udp/239.3.1.138:8044
湖南卫视[1920x1080],http://111.196.133.132:8012/udp/239.3.1.132:8012
湖南卫视[1920x1080],http://114.254.189.28:9999/udp/239.3.1.132:8012
甘肃卫视[768x576],http://111.196.133.132:8012/udp/239.3.1.49:8188
甘肃卫视[768x576],http://114.254.189.28:9999/udp/239.3.1.49:8188
西藏卫视[768x576],http://111.196.133.132:8012/udp/239.3.1.47:8164
西藏卫视[768x576],http://114.254.189.28:9999/udp/239.3.1.47:8164
贵州卫视[1920x1080],http://111.196.133.132:8012/udp/239.3.1.149:8076
贵州卫视[1920x1080],http://114.254.189.28:9999/udp/239.3.1.149:8076
辽宁卫视[1920x1080],http://111.196.133.132:8012/udp/239.3.1.210:8056
辽宁卫视[1920x1080],http://114.254.189.28:9999/udp/239.3.1.210:8056
重庆卫视[1920x1080],http://111.196.133.132:8012/udp/239.3.1.122:8160
重庆卫视[1920x1080],http://114.254.189.28:9999/udp/239.3.1.122:8160
陕西卫视[768x576],http://111.196.133.132:8012/udp/239.3.1.41:8140
陕西卫视[768x576],http://114.254.189.28:9999/udp/239.3.1.41:8140
青海卫视[768x576],http://111.196.133.132:8012/udp/239.3.1.44:8184
青海卫视[768x576],http://114.254.189.28:9999/udp/239.3.1.44:8184
黑龙江卫视[1920x1080],http://111.196.133.132:8012/udp/239.3.1.133:8016
黑龙江卫视[1920x1080],http://114.254.189.28:9999/udp/239.3.1.133:8016
4K[],http://111.196.133.132:8012/udp/239.3.1.249:8001
4K[],http://114.254.189.28:9999/udp/239.3.1.249:8001
BRTV体育休闲[],http://111.196.133.132:8012/udp/239.3.1.243:8000
BRTV体育休闲[],http://114.254.189.28:9999/udp/239.3.1.243:8000
BRTV冬奥纪实[1920x1080],http://111.196.133.132:8012/udp/239.3.1.243:8000
BRTV冬奥纪实[1920x1080],http://114.254.189.28:9999/udp/239.3.1.243:8000
BRTV卡酷少儿[1920x1080],http://111.196.133.132:8012/udp/239.3.1.189:8000
BRTV卡酷少儿[1920x1080],http://114.254.189.28:9999/udp/239.3.1.189:8000
BRTV影视[1920x1080],http://111.196.133.132:8012/udp/239.3.1.158:8000
BRTV影视[1920x1080],http://114.254.189.28:9999/udp/239.3.1.158:8000
BRTV文艺[1920x1080],http://111.196.133.132:8012/udp/239.3.1.242:8000
BRTV文艺[1920x1080],http://114.254.189.28:9999/udp/239.3.1.242:8000
BRTV新闻[1920x1080],http://111.196.133.132:8012/udp/239.3.1.159:8000
BRTV新闻[1920x1080],http://114.254.189.28:9999/udp/239.3.1.159:8000
BRTV生活[1920x1080],http://111.196.133.132:8012/udp/239.3.1.117:8000
BRTV生活[1920x1080],http://114.254.189.28:9999/udp/239.3.1.117:8000
BRTV纪实科教[1920x1080],http://111.196.133.132:8012/udp/239.3.1.115:8000
BRTV纪实科教[1920x1080],http://114.254.189.28:9999/udp/239.3.1.115:8000
BRTV财经[1920x1080],http://111.196.133.132:8012/udp/239.3.1.116:8000
BRTV财经[1920x1080],http://114.254.189.28:9999/udp/239.3.1.116:8000
BTV国际频道[1920x1080],http://111.196.133.132:8012/udp/239.3.1.235:8000
BTV国际频道[1920x1080],http://114.254.189.28:9999/udp/239.3.1.235:8000
CGTN俄语[1920x1080],http://111.196.133.132:8012/udp/239.3.1.220:4220
CGTN俄语[1920x1080],http://114.254.189.28:9999/udp/239.3.1.220:4220
CGTN新闻[1920x1080],http://111.196.133.132:8012/udp/239.3.1.215:4220
CGTN新闻[1920x1080],http://114.254.189.28:9999/udp/239.3.1.215:4220
CGTN法语[1920x1080],http://111.196.133.132:8012/udp/239.3.1.218:4220
CGTN法语[1920x1080],http://114.254.189.28:9999/udp/239.3.1.218:4220
CGTN西班牙语[1920x1080],http://111.196.133.132:8012/udp/239.3.1.217:4220
CGTN西班牙语[1920x1080],http://114.254.189.28:9999/udp/239.3.1.217:4220
CGTN记录[1920x1080],http://111.196.133.132:8012/udp/239.3.1.216:4220
CGTN记录[1920x1080],http://114.254.189.28:9999/udp/239.3.1.216:4220
CGTN阿拉伯语[1920x1080],http://111.196.133.132:8012/udp/239.3.1.219:4220
CGTN阿拉伯语[1920x1080],http://114.254.189.28:9999/udp/239.3.1.219:4220
中国交通[1920x1080],http://111.196.133.132:8012/udp/239.3.1.188:8001
中国交通[1920x1080],http://114.254.189.28:9999/udp/239.3.1.188:8001
光影[768x576],http://111.196.133.132:8012/udp/239.3.1.84:4120
光影[768x576],http://114.254.189.28:9999/udp/239.3.1.84:4120
军事[768x576],http://111.196.133.132:8012/udp/239.3.1.76:4120
军事[768x576],http://114.254.189.28:9999/udp/239.3.1.76:4120
军旅剧场[768x576],http://111.196.133.132:8012/udp/239.3.1.68:4120
军旅剧场[768x576],http://114.254.189.28:9999/udp/239.3.1.68:4120
动作影院[768x576],http://111.196.133.132:8012/udp/239.3.1.92:4120
动作影院[768x576],http://114.254.189.28:9999/udp/239.3.1.92:4120
动画[768x576],http://111.196.133.132:8012/udp/239.3.1.80:4120
动画[768x576],http://114.254.189.28:9999/udp/239.3.1.80:4120
古装剧场[768x576],http://111.196.133.132:8012/udp/239.3.1.69:4120
古装剧场[768x576],http://114.254.189.28:9999/udp/239.3.1.69:4120
台球[768x576],http://111.196.133.132:8012/udp/239.3.1.85:4120
台球[768x576],http://114.254.189.28:9999/udp/239.3.1.85:4120
喜剧影院[768x576],http://111.196.133.132:8012/udp/239.3.1.91:4120
喜剧影院[768x576],http://114.254.189.28:9999/udp/239.3.1.91:4120
嘉佳卡通[768x576],http://111.196.133.132:8012/udp/239.3.1.147:9268
嘉佳卡通[768x576],http://114.254.189.28:9999/udp/239.3.1.147:9268
国学[768x576],http://111.196.133.132:8012/udp/239.3.1.77:4120
国学[768x576],http://114.254.189.28:9999/udp/239.3.1.77:4120
地理[768x576],http://111.196.133.132:8012/udp/239.3.1.71:4120
地理[768x576],http://114.254.189.28:9999/udp/239.3.1.71:4120
城市剧场[768x576],http://111.196.133.132:8012/udp/239.3.1.67:4120
城市剧场[768x576],http://114.254.189.28:9999/udp/239.3.1.67:4120
墨宝[768x576],http://111.196.133.132:8012/udp/239.3.1.83:4120
墨宝[768x576],http://114.254.189.28:9999/udp/239.3.1.83:4120
好学生[768x576],http://111.196.133.132:8012/udp/239.3.1.81:4120
好学生[768x576],http://114.254.189.28:9999/udp/239.3.1.81:4120
家庭影院[768x576],http://111.196.133.132:8012/udp/239.3.1.93:4120
家庭影院[768x576],http://114.254.189.28:9999/udp/239.3.1.93:4120
密云电视台[1920x1080],http://111.196.133.132:8012/udp/239.3.1.154:8001
密云电视台[1920x1080],http://114.254.189.28:9999/udp/239.3.1.154:8001
少儿动画[720x576],http://111.196.133.132:8012/udp/239.3.1.199:9000
少儿动画[720x576],http://114.254.189.28:9999/udp/239.3.1.199:9000
山东教育[785x576],http://111.196.133.132:8012/udp/239.3.1.52:4120
山东教育[785x576],http://114.254.189.28:9999/udp/239.3.1.52:4120
延庆电视台[720x576],http://111.196.133.132:8012/udp/239.3.1.187:8001
延庆电视台[720x576],http://114.254.189.28:9999/udp/239.3.1.187:8001
快乐垂钓[1920x1080],http://111.196.133.132:8012/udp/239.3.1.164:8001
快乐垂钓[1920x1080],http://114.254.189.28:9999/udp/239.3.1.164:8001
戏曲[768x576],http://111.196.133.132:8012/udp/239.3.1.78:4120
戏曲[768x576],http://114.254.189.28:9999/udp/239.3.1.78:4120
房山电视台[1920x1080],http://111.196.133.132:8012/udp/239.3.1.96:8001
房山电视台[1920x1080],http://114.254.189.28:9999/udp/239.3.1.96:8001
收视指南[720x576],http://111.196.133.132:8012/udp/239.3.1.193:8012
收视指南[720x576],http://114.254.189.28:9999/udp/239.3.1.193:8012
早教[768x576],http://111.196.133.132:8012/udp/239.3.1.79:4120
早教[768x576],http://114.254.189.28:9999/udp/239.3.1.79:4120
星影[768x576],http://111.196.133.132:8012/udp/239.3.1.94:4120
星影[768x576],http://114.254.189.28:9999/udp/239.3.1.94:4120
朝阳融媒[1920x1080],http://111.196.133.132:8012/udp/239.3.1.163:8001
朝阳融媒[1920x1080],http://114.254.189.28:9999/udp/239.3.1.163:8001
武侠剧场[768x576],http://111.196.133.132:8012/udp/239.3.1.90:4120
武侠剧场[768x576],http://114.254.189.28:9999/udp/239.3.1.90:4120
武术[768x576],http://111.196.133.132:8012/udp/239.3.1.87:4120
武术[768x576],http://114.254.189.28:9999/udp/239.3.1.87:4120
淘BABY[1920x1080],http://111.196.133.132:8012/udp/239.3.1.238:8001
淘BABY[1920x1080],http://114.254.189.28:9999/udp/239.3.1.238:8001
淘剧场[1920x1080],http://111.196.133.132:8012/udp/239.3.1.95:8001
淘剧场[1920x1080],http://114.254.189.28:9999/udp/239.3.1.95:8001
淘娱乐[1920x1080],http://111.196.133.132:8012/udp/239.3.1.100:8001
淘娱乐[1920x1080],http://114.254.189.28:9999/udp/239.3.1.100:8001
淘电影[1920x1080],http://111.196.133.132:8012/udp/239.3.1.250:8001
淘电影[1920x1080],http://114.254.189.28:9999/udp/239.3.1.250:8001
淘精彩[1920x1080],http://111.196.133.132:8012/udp/239.3.1.178:8001
淘精彩[1920x1080],http://114.254.189.28:9999/udp/239.3.1.178:8001
热播剧场[720x576],http://111.196.133.132:8012/udp/239.3.1.194:9020
热播剧场[720x576],http://114.254.189.28:9999/udp/239.3.1.194:9020
爱上4K[],http://114.254.189.28:9999/udp/239.3.1.236:2000
爱上4K[],http://111.196.133.132:8012/udp/239.3.1.236:2000
爱生活[768x576],http://111.196.133.132:8012/udp/239.3.1.86:4120
爱生活[768x576],http://114.254.189.28:9999/udp/239.3.1.86:4120
睛彩广场舞[1920x1080],http://111.196.133.132:8012/udp/239.3.1.128:8001
睛彩广场舞[1920x1080],http://114.254.189.28:9999/udp/239.3.1.128:8001
睛彩竞技[1920x1080],http://111.196.133.132:8012/udp/239.3.1.125:8001
睛彩竞技[1920x1080],http://114.254.189.28:9999/udp/239.3.1.125:8001
睛彩篮球[1920x1080],http://111.196.133.132:8012/udp/239.3.1.126:8001
睛彩篮球[1920x1080],http://114.254.189.28:9999/udp/239.3.1.126:8001
睛彩羽毛球[1920x1080],http://111.196.133.132:8012/udp/239.3.1.127:8001
睛彩羽毛球[1920x1080],http://114.254.189.28:9999/udp/239.3.1.127:8001
精选[768x576],http://111.196.133.132:8012/udp/239.3.1.74:4120
精选[768x576],http://114.254.189.28:9999/udp/239.3.1.74:4120
纪实人文[1920x1080],http://111.196.133.132:8012/udp/239.3.1.212:8060
纪实人文[1920x1080],http://114.254.189.28:9999/udp/239.3.1.212:8060
